utt_id,session,speaker,label,emotion,start,end,wav_path,video_path,transcript
Ses01F_impro01_F000,Session1,Session1_F,0,neutral,6.2901,8.2357,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,Excuse me.
Ses01F_impro01_F001,Session1,Session1_F,0,neutral,10.01,11.3925,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,Yeah.
Ses01F_impro01_F002,Session1,Session1_F,0,neutral,14.8872,18.0175,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,Is there a problem?
Ses01F_impro01_F005,Session1,Session1_F,0,neutral,27.46,31.49,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,Well what's the problem?  Let me change it.
Ses01F_impro01_F012,Session1,Session1_F,3,angry,85.27,88.02,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,That's out of control.
Ses01F_impro01_F014,Session1,Session1_F,0,neutral,97.89,102.96,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,"Clearly.  You know, do you have like a supervisor or something?"
Ses01F_impro01_M011,Session1,Session1_M,3,angry,87.15,94.39,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
Ses01F_impro01_M013,Session1,Session1_M,3,angry,101.84,107.87,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
Ses01F_impro02_F000,Session1,Session1_F,2,sad,7.2688,16.6,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,Did you get the mail? So you saw my letter?
Ses01F_impro02_F001,Session1,Session1_F,2,sad,19.85,22.78,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,Yeah.  I know.
Ses01F_impro02_F002,Session1,Session1_F,2,sad,26.5659,32.2895,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,I don't know.  I put in that. request too. They didn't...
Ses01F_impro02_F003,Session1,Session1_F,0,neutral,32.3075,37.96,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,/Users/kaparya/Desktop/Diploma/datasets/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,"I guess, you know, everybody has to make sacrifices."
