Model,Fold,Test session,UA (UAR),WA,Macro F1,F1 neutral,F1 happy,F1 sad,F1 angry,Gate val BA,Gate test BA
"Ours (BiLSTM bimodal, hard skip, scratch)",1,Session1,0.5445846171619855,0.5576036866359447,0.5420545542262065,0.6187845303867403,0.4,0.5714285714285714,0.578005115089514,0.6696784547103418,0.6966257281264859
"Ours (BiLSTM bimodal, hard skip, scratch)",2,Session2,0.5004776773084902,0.48484848484848486,0.47205477607908974,0.5573770491803278,0.3465553235908142,0.509090909090909,0.4751958224543081,0.6192426293622142,0.6364979396695113
"Ours (BiLSTM bimodal, hard skip, scratch)",3,Session3,0.5038320627459971,0.5047784535186794,0.49900477125595116,0.46537396121883656,0.31910112359550563,0.5919540229885057,0.6195899772209568,0.6943199253888505,0.6133009927797834
"Ours (BiLSTM bimodal, hard skip, scratch)",4,Session4,0.48342541106944226,0.498545101842871,0.4739481038451908,0.4863123993558776,0.2678983833718245,0.5089285714285714,0.6326530612244898,0.712017758168028,0.6607022874735502
"Ours (BiLSTM bimodal, hard skip, scratch)",5,Session5,0.491806265775541,0.49717969379532634,0.4733374677805957,0.5824915824915825,0.36334913112164297,0.36904761904761907,0.5784615384615385,0.7056734427009035,0.6952410905289771
"Ours (BiLSTM bimodal, hard skip)",1,Session1,0.5527417606667828,0.5612903225806452,0.5436082725270424,0.6219239373601789,0.375,0.57847533632287,0.5990338164251208,0.6696784547103418,0.6966257281264859
"Ours (BiLSTM bimodal, hard skip)",2,Session2,0.5025676289793495,0.4916911045943304,0.4806318824796917,0.5662100456621004,0.3379721669980119,0.4968553459119497,0.5214899713467048,0.6192426293622142,0.6364979396695113
"Ours (BiLSTM bimodal, hard skip)",3,Session3,0.5041667860827697,0.5073848827106864,0.4924872200922208,0.4942084942084942,0.263681592039801,0.5956204379562043,0.6164383561643836,0.6943199253888505,0.6133009927797834
"Ours (BiLSTM bimodal, hard skip)",4,Session4,0.48236676644802556,0.5004849660523764,0.4818337899261026,0.5,0.34592445328031807,0.462882096069869,0.6185286103542235,0.712017758168028,0.6607022874735502
"Ours (BiLSTM bimodal, hard skip)",5,Session5,0.5051245979160895,0.49556809024979853,0.47124944510887495,0.584192439862543,0.3310344827586207,0.4076086956521739,0.5621621621621622,0.7056734427009035,0.6952410905289771
